,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
2612,0.041864,0.99508,1.11700671439,"(31, 18)",1.224,1.224,2.50205915198,4.63,-0.516307976574,-0.3,2622,0.250016835897,2622,0.605597641638,0.000466641250477,0.002,511,0.596697041534,922,0.604680481013,853,0.62024134458,723,,,798,0.617995497619,2612,0.518205095968
1911,0.115256,0.99508,1.11755805218,"(31, 34)",0.592,0.592,2.7358179764,3.99,-0.204631488944,-0.1,2625,0.250650053569,2624,0.605948419144,0.000225523809524,0.002,956,0.629818306377,1066,0.616418040838,658,0.578120354635,1081,,,1186,0.619526848966,1911,0.321424822187
1910,0.99508,0.115256,1.11755805218,"(34, 31)",-0.592,0.592,2.7358179764,3.99,-0.204631488944,-0.1,2624,0.250439353734,2625,0.605943210548,0.0,0.0,957,0.629780317598,1067,0.616395879407,659,0.578142333319,1080,,,1185,0.619550364982,1910,0.321223427093
2138,1.078104,0.061176,1.1226112417,"(6, 16)",-0.708,0.708,2.86546680316,4.85,-0.235531152829,0.2,2626,0.250864707522,2627,0.606027414222,0.0,0.0,912,0.637263820882,1144,0.622547224294,932,0.618373545816,1650,,,1609,0.625534141231,2138,0.370076588648
2139,0.061176,1.078104,1.1226112417,"(16, 6)",0.708,0.708,2.86546680316,4.85,-0.235531152829,0.2,2627,0.251078815495,2626,0.605985269943,0.000269508945565,0.002,913,0.637345974013,1145,0.62262720968,934,0.618153091241,1649,,,1610,0.625588748559,2139,0.370306667557
2722,0.369144,0.99508,1.12334500488,"(31, 49)",1.604,1.604,2.83310783416,4.03,0.0844118911276,-0.3,2628,0.251293032273,2628,0.606718867738,0.000610117915557,0.002,1453,0.625544573756,1125,0.623323248494,672,0.581645665912,831,,,762,0.614626542042,2722,0.581070803281
2723,0.99508,0.369144,1.12334500488,"(49, 31)",-1.604,1.604,2.83310783416,4.03,0.0844118911276,-0.3,2629,0.25150670503,2629,0.607409621812,0.0,0.0,1452,0.624342383452,1124,0.621762216108,673,0.584493490939,802,,,703,0.605086218216,2723,0.581776738341
2620,0.061176,0.99508,1.12430245041,"(31, 6)",1.252,1.252,5.07584475728,9.86,-0.421110441759,-0.5,2630,0.251720686012,2630,0.607784315619,0.000475864690232,0.002,634,0.624441025616,2095,0.635578782932,1925,0.6426362598,535,,,500,0.612061404299,2620,0.521904071969
2621,0.99508,0.061176,1.12430245041,"(6, 31)",-1.252,1.252,5.07584475728,9.86,-0.421110441759,-0.5,2631,0.25193412428,2631,0.608158866323,0.0,0.0,635,0.625924925673,2094,0.635141434191,1924,0.642169126775,536,,,499,0.610104534977,2621,0.522377288975
1642,0.374056,0.5654,1.1297681178,"(46, 35)",0.488,0.488,4.1244029871,7.83,-0.366311523995,0.0,2632,0.252151886218,2632,0.608117709272,0.000185339916445,0.002,712,0.629004335767,1735,0.643276825117,1607,0.63803978026,1331,,,1267,0.615219374349,1642,0.268704100306
